ngram,phones,words,file,start_s,end_s
diphone,i l,il,1-1.wav,0.270,0.470
diphone,l s,il se,1-1.wav,0.390,0.600
diphone,s ə,se,1-1.wav,0.470,0.620
diphone,ə ɡ,se garantira,1-1.wav,0.600,0.780
diphone,ɡ a,garantira,1-1.wav,0.620,0.860
diphone,a ʁ,garantira,1-1.wav,0.780,0.960
diphone,ʁ ɑ̃,garantira,1-1.wav,0.860,1.050
diphone,ɑ̃ t,garantira,1-1.wav,0.960,1.170
diphone,t i,garantira,1-1.wav,1.050,1.250
diphone,i ʁ,garantira,1-1.wav,1.170,1.340
diphone,ʁ a,garantira,1-1.wav,1.250,1.460
diphone,a d,garantira du,1-1.wav,1.340,1.520
diphone,d y,du,1-1.wav,1.460,1.580
diphone,y f,du froid,1-1.wav,1.520,1.700
diphone,f ʁ,froid,1-1.wav,1.580,1.820
diphone,ʁ w,froid,1-1.wav,1.700,1.900
diphone,w ɑ,froid,1-1.wav,1.820,1.960
diphone,ɑ a,froid avec,1-1.wav,1.900,2.180
diphone,a v,avec,1-1.wav,1.960,2.240
diphone,v ɛ,avec,1-1.wav,2.180,2.320
diphone,ɛ k,avec,1-1.wav,2.240,2.370
diphone,k s,avec ce,1-1.wav,2.320,2.500
diphone,s ə,ce,1-1.wav,2.370,2.520
diphone,ə b,ce bon,1-1.wav,2.500,2.710
diphone,b ɔ̃,bon,1-1.wav,2.520,2.870
diphone,ɔ̃ k,bon capuchon,1-1.wav,2.710,2.990
diphone,k a,capuchon,1-1.wav,2.870,3.060
diphone,a p,capuchon,1-1.wav,2.990,3.170
diphone,p y,capuchon,1-1.wav,3.060,3.240
diphone,y ʃ,capuchon,1-1.wav,3.170,3.410
diphone,ʃ ɔ̃,capuchon,1-1.wav,3.240,3.590
diphone,ɔ̃ a,capuchon annie,1-1.wav,3.410,4.680
diphone,a ɲ,annie,1-1.wav,4.530,4.830
diphone,ɲ i,annie,1-1.wav,4.680,4.970
diphone,i s,annie s'ennuie,1-1.wav,4.830,5.130
diphone,s ɑ̃,s'ennuie,1-1.wav,4.970,5.220
diphone,ɑ̃ n,s'ennuie,1-1.wav,5.130,5.360
diphone,n ɥ,s'ennuie,1-1.wav,5.220,5.410
diphone,ɥ i,s'ennuie,1-1.wav,5.360,5.580
diphone,i l,s'ennuie loin,1-1.wav,5.410,5.730
diphone,l w,loin,1-1.wav,5.580,5.870
diphone,w ɛ̃,loin,1-1.wav,5.730,5.970
diphone,ɛ̃ d,loin de,1-1.wav,5.870,6.100
diphone,d ə,de,1-1.wav,5.970,6.120
diphone,ə m,de mes,1-1.wav,6.100,6.210
diphone,m e,mes,1-1.wav,6.120,6.300
diphone,e p,mes parents,1-1.wav,6.210,6.410
diphone,p a,parents,1-1.wav,6.300,6.530
diphone,a ʁ,parents,1-1.wav,6.410,6.640
diphone,ʁ ɑ̃,parents,1-1.wav,6.530,6.860
diphone,ɑ̃ l,parents les,1-1.wav,6.640,7.760
diphone,l e,les,1-1.wav,7.660,7.840
diphone,e d,les deux,1-1.wav,7.760,7.950
diphone,d ø,deux,1-1.wav,7.840,8.060
diphone,ø k,deux camions,1-1.wav,7.950,8.160
diphone,k a,camions,1-1.wav,8.060,8.250
diphone,a mʲ,camions,1-1.wav,8.160,8.410
diphone,mʲ ɔ̃,camions,1-1.wav,8.250,8.490
diphone,ɔ̃ s,camions se,1-1.wav,8.410,8.630
diphone,s ə,se,1-1.wav,8.490,8.670
diphone,ə s,se sont,1-1.wav,8.630,8.820
diphone,s ɔ̃,sont,1-1.wav,8.670,8.960
diphone,ɔ̃ œ,sont heurtés,1-1.wav,8.820,9.100
diphone,œ ʁ,heurtés,1-1.wav,9.030,9.250
diphone,ʁ t,heurtés,1-1.wav,9.100,9.320
diphone,t e,heurtés,1-1.wav,9.250,9.400
diphone,e d,heurtés de,1-1.wav,9.320,9.480
diphone,d ə,de,1-1.wav,9.400,9.500
diphone,ə f,de face,1-1.wav,9.480,9.680
diphone,f a,face,1-1.wav,9.500,9.830
diphone,a s,face,1-1.wav,9.680,10.220
diphone,s ɛ̃,face un,1-1.wav,9.830,11.080
diphone,ɛ̃ l,un loup,1-1.wav,10.930,11.230
diphone,l u,loup,1-1.wav,11.080,11.360
diphone,u s,loup s'est,1-1.wav,11.230,11.500
diphone,s ɛ,s'est,1-1.wav,11.360,11.580
diphone,ɛ ʒ,s'est jeté,1-1.wav,11.500,11.700
diphone,ʒ ə,jeté,1-1.wav,11.580,11.720
diphone,ə t,jeté,1-1.wav,11.700,11.900
diphone,t e,jeté,1-1.wav,11.720,12.120
diphone,e i,jeté immédiatement,1-1.wav,11.900,12.170
diphone,i m,immédiatement,1-1.wav,12.120,12.360
diphone,m e,immédiatement,1-1.wav,12.170,12.460
diphone,e d,immédiatement,1-1.wav,12.360,12.530
diphone,d j,immédiatement,1-1.wav,12.460,12.600
diphone,j a,immédiatement,1-1.wav,12.530,12.660
diphone,a t,immédiatement,1-1.wav,12.600,12.790
diphone,t m,immédiatement,1-1.wav,12.660,12.860
diphone,m ɑ̃,immédiatement,1-1.wav,12.790,13.000
diphone,ɑ̃ s,immédiatement sur,1-1.wav,12.860,13.140
diphone,s y,sur,1-1.wav,13.000,13.200
diphone,y ʁ,sur,1-1.wav,13.140,13.280
diphone,ʁ l,sur la,1-1.wav,13.200,13.340
diphone,l a,la,1-1.wav,13.280,13.400
diphone,a p,la petite,1-1.wav,13.340,13.520
diphone,p ə,petite,1-1.wav,13.400,13.540
diphone,ə t,petite,1-1.wav,13.520,13.660
diphone,t i,petite,1-1.wav,13.540,13.740
diphone,i t,petite,1-1.wav,13.660,13.840
diphone,t ʃ,petite chèvre,1-1.wav,13.740,14.010
diphone,ʃ ɛ,chèvre,1-1.wav,13.840,14.130
diphone,ɛ v,chèvre,1-1.wav,14.010,14.260
diphone,v ʁ,chèvre,1-1.wav,14.130,14.390
diphone,ʁ d,chèvre dès,1-1.wav,14.260,15.310
diphone,d ɛ,dès,1-1.wav,15.240,15.430
diphone,ɛ k,dès que,1-1.wav,15.310,15.540
diphone,k ə,que,1-1.wav,15.430,15.560
diphone,ə l,que le,1-1.wav,15.540,15.650
diphone,l ø,le,1-1.wav,15.560,15.760
diphone,ø t,le tambour,1-1.wav,15.650,15.850
diphone,t ɑ̃,tambour,1-1.wav,15.760,15.970
diphone,ɑ̃ b,tambour,1-1.wav,15.850,16.060
diphone,b u,tambour,1-1.wav,15.970,16.140
diphone,u ʁ,tambour,1-1.wav,16.060,16.230
diphone,ʁ b,tambour bat,1-1.wav,16.140,16.340
diphone,b a,bat,1-1.wav,16.230,16.640
diphone,a l,bat les,1-1.wav,16.340,16.870
diphone,l e,les,1-1.wav,16.800,16.980
diphone,e ʒ,les gens,1-1.wav,16.870,17.100
diphone,ʒ ɑ̃,gens,1-1.wav,16.980,17.320
triphone,i l s,il se,1-1.wav,0.270,0.600
triphone,l s ə,il se,1-1.wav,0.390,0.620
triphone,s ə ɡ,se garantira,1-1.wav,0.470,0.780
triphone,ə ɡ a,se garantira,1-1.wav,0.600,0.860
triphone,ɡ a ʁ,garantira,1-1.wav,0.620,0.960
triphone,a ʁ ɑ̃,garantira,1-1.wav,0.780,1.050
triphone,ʁ ɑ̃ t,garantira,1-1.wav,0.860,1.170
triphone,ɑ̃ t i,garantira,1-1.wav,0.960,1.250
triphone,t i ʁ,garantira,1-1.wav,1.050,1.340
triphone,i ʁ a,garantira,1-1.wav,1.170,1.460
triphone,ʁ a d,garantira du,1-1.wav,1.250,1.520
triphone,a d y,garantira du,1-1.wav,1.340,1.580
triphone,d y f,du froid,1-1.wav,1.460,1.700
triphone,y f ʁ,du froid,1-1.wav,1.520,1.820
triphone,f ʁ w,froid,1-1.wav,1.580,1.900
triphone,ʁ w ɑ,froid,1-1.wav,1.700,1.960
triphone,w ɑ a,froid avec,1-1.wav,1.820,2.180
triphone,ɑ a v,froid avec,1-1.wav,1.900,2.240
triphone,a v ɛ,avec,1-1.wav,1.960,2.320
triphone,v ɛ k,avec,1-1.wav,2.180,2.370
triphone,ɛ k s,avec ce,1-1.wav,2.240,2.500
triphone,k s ə,avec ce,1-1.wav,2.320,2.520
triphone,s ə b,ce bon,1-1.wav,2.370,2.710
triphone,ə b ɔ̃,ce bon,1-1.wav,2.500,2.870
triphone,b ɔ̃ k,bon capuchon,1-1.wav,2.520,2.990
triphone,ɔ̃ k a,bon capuchon,1-1.wav,2.710,3.060
triphone,k a p,capuchon,1-1.wav,2.870,3.170
triphone,a p y,capuchon,1-1.wav,2.990,3.240
triphone,p y ʃ,capuchon,1-1.wav,3.060,3.410
triphone,y ʃ ɔ̃,capuchon,1-1.wav,3.170,3.590
triphone,ʃ ɔ̃ a,capuchon annie,1-1.wav,3.240,4.680
triphone,ɔ̃ a ɲ,capuchon annie,1-1.wav,3.410,4.830
triphone,a ɲ i,annie,1-1.wav,4.530,4.970
triphone,ɲ i s,annie s'ennuie,1-1.wav,4.680,5.130
triphone,i s ɑ̃,annie s'ennuie,1-1.wav,4.830,5.220
triphone,s ɑ̃ n,s'ennuie,1-1.wav,4.970,5.360
triphone,ɑ̃ n ɥ,s'ennuie,1-1.wav,5.130,5.410
triphone,n ɥ i,s'ennuie,1-1.wav,5.220,5.580
triphone,ɥ i l,s'ennuie loin,1-1.wav,5.360,5.730
triphone,i l w,s'ennuie loin,1-1.wav,5.410,5.870
triphone,l w ɛ̃,loin,1-1.wav,5.580,5.970
triphone,w ɛ̃ d,loin de,1-1.wav,5.730,6.100
triphone,ɛ̃ d ə,loin de,1-1.wav,5.870,6.120
triphone,d ə m,de mes,1-1.wav,5.970,6.210
triphone,ə m e,de mes,1-1.wav,6.100,6.300
triphone,m e p,mes parents,1-1.wav,6.120,6.410
triphone,e p a,mes parents,1-1.wav,6.210,6.530
triphone,p a ʁ,parents,1-1.wav,6.300,6.640
triphone,a ʁ ɑ̃,parents,1-1.wav,6.410,6.860
triphone,ʁ ɑ̃ l,parents les,1-1.wav,6.530,7.760
triphone,ɑ̃ l e,parents les,1-1.wav,6.640,7.840
triphone,l e d,les deux,1-1.wav,7.660,7.950
triphone,e d ø,les deux,1-1.wav,7.760,8.060
triphone,d ø k,deux camions,1-1.wav,7.840,8.160
triphone,ø k a,deux camions,1-1.wav,7.950,8.250
triphone,k a mʲ,camions,1-1.wav,8.060,8.410
triphone,a mʲ ɔ̃,camions,1-1.wav,8.160,8.490
triphone,mʲ ɔ̃ s,camions se,1-1.wav,8.250,8.630
triphone,ɔ̃ s ə,camions se,1-1.wav,8.410,8.670
triphone,s ə s,se sont,1-1.wav,8.490,8.820
triphone,ə s ɔ̃,se sont,1-1.wav,8.630,8.960
triphone,s ɔ̃ œ,sont heurtés,1-1.wav,8.670,9.100
triphone,ɔ̃ œ ʁ,sont heurtés,1-1.wav,8.820,9.250
