basename,wav_path,lab_path,textgrid_aligned_one_path,textgrid_aligned_out_path,wav_duration_s,wav_mtime_utc,textgrid_mtime_utc,words_nonempty_coverage_s,words_nonempty_count,words_interval_count,phones_nonempty_coverage_s,phones_nonempty_count,phones_interval_count,legacy_alignment_analysis_json
1-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/1-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/1-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/1-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/1-1.TextGrid,19.227000,2026-04-25T18:53:47.702577+00:00,2026-04-26T15:23:44.260592+00:00,19.226999,51,52,19.226999,132,133,"{""file"": ""1-1"", ""begin"": ""0.0"", ""end"": ""19.227"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.59575695527821"", ""speech_log_likelihood"": ""-47.17059783305018"", ""phone_duration_deviation"": ""4.389598881027725"", ""snr"": ""21.25545545038824""}"
1-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/1-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/1-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/1-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/1-2.TextGrid,16.107000,2026-04-25T18:53:54.643996+00:00,2026-04-26T15:24:06.744597+00:00,16.107000,42,42,16.107000,114,114,"{""file"": ""1-2"", ""begin"": ""0.0"", ""end"": ""16.107"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.88561549503414"", ""speech_log_likelihood"": ""-48.05836435953776"", ""phone_duration_deviation"": ""3.0884482535458555"", ""snr"": ""20.854000153879042""}"
2-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/2-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/2-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/2-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/2-1.TextGrid,18.642000,2026-04-25T18:54:01.128128+00:00,2026-04-26T15:32:26.356480+00:00,18.642000,45,45,18.642000,116,116,"{""file"": ""2-1"", ""begin"": ""0.0"", ""end"": ""18.642"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-44.103117455740346"", ""speech_log_likelihood"": ""-48.249034478114204"", ""phone_duration_deviation"": ""3.9102953458294616"", ""snr"": ""15.120473627507707""}"
2-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/2-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/2-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/2-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/2-2.TextGrid,18.486000,2026-04-25T18:54:08.231720+00:00,2026-04-26T15:32:35.616475+00:00,18.486000,51,51,18.486000,113,113,"{""file"": ""2-2"", ""begin"": ""0.0"", ""end"": ""18.486"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.82073080043266"", ""speech_log_likelihood"": ""-47.762640433736365"", ""phone_duration_deviation"": ""4.05639433921701"", ""snr"": ""19.25228535516575""}"
3-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/3-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/3-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/3-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/3-1.TextGrid,17.927000,2026-04-25T18:54:14.333856+00:00,2026-04-26T15:34:25.004458+00:00,17.927000,40,40,17.927000,111,111,"{""file"": ""3-1"", ""begin"": ""0.0"", ""end"": ""17.927"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-41.413565776631344"", ""speech_log_likelihood"": ""-47.86078147517825"", ""phone_duration_deviation"": ""3.4107586961051353"", ""snr"": ""23.67524749825539""}"
3-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/3-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/3-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/3-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/3-2.TextGrid,16.991000,2026-04-25T18:54:18.940897+00:00,2026-04-26T15:34:50.812460+00:00,16.990999,45,46,16.990999,111,112,"{""file"": ""3-2"", ""begin"": ""0.0"", ""end"": ""16.991"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.163588875809296"", ""speech_log_likelihood"": ""-47.72137787318466"", ""phone_duration_deviation"": ""5.589058315098018"", ""snr"": ""20.842178715961325""}"
4-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/4-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/4-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/4-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/4-2.TextGrid,19.409000,2026-04-25T18:54:34.978371+00:00,2026-04-26T15:35:24.508458+00:00,19.409000,53,53,19.409000,137,137,"{""file"": ""4-2"", ""begin"": ""0.0"", ""end"": ""19.409"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-43.81153400309119"", ""speech_log_likelihood"": ""-48.4740502582333"", ""phone_duration_deviation"": ""3.2843584846404372"", ""snr"": ""16.975683291061074""}"
5-1,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/5-1.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/5-1.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/5-1.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/5-1.TextGrid,19.058000,2026-04-25T18:54:39.310997+00:00,2026-04-26T15:35:41.864446+00:00,19.058000,49,49,19.058000,140,140,"{""file"": ""5-1"", ""begin"": ""0.0"", ""end"": ""19.058"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.79801859260231"", ""speech_log_likelihood"": ""-47.440889550733935"", ""phone_duration_deviation"": ""4.496813552367356"", ""snr"": ""23.45525409465114""}"
5-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/5-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/5-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/5-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/5-2.TextGrid,17.316000,2026-04-25T18:54:45.194383+00:00,2026-04-26T15:36:10.888447+00:00,17.316000,47,47,17.316000,126,126,"{""file"": ""5-2"", ""begin"": ""0.0"", ""end"": ""17.316"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.318738272228636"", ""speech_log_likelihood"": ""-48.96426199236487"", ""phone_duration_deviation"": ""8.804613772354626"", ""snr"": ""18.397807776482942""}"
6-2,/home/morgane/git/perso/pluriTAL/oralite/projet_final/audio/6-2.wav,/home/morgane/git/perso/pluriTAL/oralite/projet_final/corpus/6-2.lab,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_one/6-2.TextGrid,/home/morgane/git/perso/pluriTAL/oralite/projet_final/aligned_out/6-2.TextGrid,17.199000,2026-04-25T18:54:50.016509+00:00,2026-04-26T15:36:39.188435+00:00,17.198999,51,52,17.198999,124,125,"{""file"": ""6-2"", ""begin"": ""0.0"", ""end"": ""17.199"", ""speaker"": ""corpus"", ""overall_log_likelihood"": ""-42.22885628633721"", ""speech_log_likelihood"": ""-46.70185815876928"", ""phone_duration_deviation"": ""3.083991344125406"", ""snr"": ""22.360666713006424""}"
